"","genes","logFC","logCPM","LR","PValue","FDR","symbol"
"ENSG00000169710","ENSG00000169710",-0.102096253911475,11.0653781819532,30.1142214760839,4.07333122312762e-08,3.58663837181254e-05,"FASN"
"ENSG00000174827","ENSG00000174827",-0.253886499291816,9.28277072300674,29.9180243309338,4.50703528205918e-08,3.83623819757937e-05,"PDZK1"
"ENSG00000182492","ENSG00000182492",0.109069778922106,10.6161342825346,29.7295619661018,4.96715500544474e-08,4.09149364722682e-05,"BGN"
"ENSG00000108107","ENSG00000108107",0.064181637224736,12.3597579567713,29.013930739653,7.18596759996813e-08,5.73417758328707e-05,"RPL28"
"ENSG00000166920","ENSG00000166920",-0.198616679828827,9.46097047962066,28.5528495634535,9.11755480310942e-08,7.05505339083027e-05,"C15orf48"
"ENSG00000133872","ENSG00000133872",-0.171394359184005,9.58052278214693,28.4490087215891,9.61990087663373e-08,7.22482849661301e-05,"SARAF"
"ENSG00000138696","ENSG00000138696",-0.19279096146415,9.44345771935893,27.93442716557,1.25496902431808e-07,9.15589543884631e-05,"BMPR1B"
"ENSG00000198918","ENSG00000198918",0.125342545803784,10.0696944675894,27.8665797719914,1.2997550229317e-07,9.21923458626694e-05,"RPL39"
"ENSG00000139219","ENSG00000139219",-0.176343818896148,9.67812245170853,27.5745380427106,1.51155514381206e-07,0.000104317731343895,"COL2A1"
"ENSG00000164442","ENSG00000164442",-0.185738330515966,9.51907134037138,27.4980736280413,1.57251055055246e-07,0.000104554234443197,"CITED2"
"ENSG00000169045","ENSG00000169045",-0.134483814657327,9.86311842233952,27.461035755161,1.60291579193988e-07,0.000104554234443197,"HNRNPH1"
"ENSG00000131844","ENSG00000131844",-0.202767608324922,9.38491341077407,27.4193777288565,1.637818436549e-07,0.000104554234443197,"MCCC2"
"ENSG00000241878","ENSG00000241878",-0.190939446443938,9.51073917041534,27.2444881806659,1.79285493731921e-07,0.000111659880059624,"PISD"
"ENSG00000133657","ENSG00000133657",-0.206153622317517,9.38435066163962,26.8641689572632,2.18268231639793e-07,0.000132701887974336,"ATP13A3"
"ENSG00000234741","ENSG00000234741",-0.11339596647437,10.2345385598421,26.4424751008555,2.71504084160797e-07,0.00015932766328148,"GAS5"
"ENSG00000122566","ENSG00000122566",-0.124371108955707,10.1109222834916,26.4209853235297,2.74541499290586e-07,0.00015932766328148,"HNRNPA2B1"
"ENSG00000107954","ENSG00000107954",-0.200950732592524,9.37809107334711,25.6702121550024,4.05030928474024e-07,0.00022983255019076,"NEURL1"
"ENSG00000164919","ENSG00000164919",-0.0981613003152685,11.1837987629203,24.1807903552581,8.77027074717546e-07,0.000486845355498099,"COX6C"
"ENSG00000133142","ENSG00000133142",-0.166672457600183,9.58486496144498,23.8965476230078,1.01653899574682e-06,0.000552283473540322,"TCEAL4"
"ENSG00000132475","ENSG00000132475",-0.100548239017156,10.3793041794543,23.7531802199956,1.09514271231844e-06,0.000582593107480237,"H3F3B"
"ENSG00000133112","ENSG00000133112",-0.0870894408153153,10.7209880468827,23.4187583426683,1.30301718723046e-06,0.000679031507672038,"TPT1"
"ENSG00000100867","ENSG00000100867",-0.204544404091282,9.45532460681297,23.3664701983198,1.33892142917091e-06,0.000683787173877583,"DHRS2"
"ENSG00000174886","ENSG00000174886",0.0912415423564504,10.3456013657438,22.9769875662241,1.63952284633003e-06,0.000820886585902692,"NDUFA11"
"ENSG00000149591","ENSG00000149591",0.0993923718985999,10.8766829527219,22.8223331152985,1.77688850492806e-06,0.000872554768718041,"TAGLN"
"ENSG00000125868","ENSG00000125868",-0.136681216695533,9.65742720182491,22.2979429725492,2.33456554806214e-06,0.00112477606169371,"DSTN"
"ENSG00000136514","ENSG00000136514",-0.139245084186078,9.21670167500051,22.108079411094,2.57722760526362e-06,0.00121869457222975,"RTP4"
"ENSG00000176340","ENSG00000176340",0.0872685760783844,10.3742176487844,21.8397344231344,2.96398090884099e-06,0.00136218195409889,"COX8A"
"ENSG00000159403","ENSG00000159403",0.134059001210987,9.77851962200604,21.8246603182452,2.98735811355152e-06,0.00136218195409889,"C1R"
"ENSG00000134363","ENSG00000134363",-0.148574942931263,9.24460114425946,21.760074304314,3.08963196919087e-06,0.00138410091812787,"FST"
"ENSG00000140526","ENSG00000140526",-0.185324855185482,9.49972164923302,21.690836645681,3.20317725296525e-06,0.00141022639921496,"ABHD2"
